,main_post,reply_post,fold,label
945,"نتيناهو: ""أقول لايران وحزب الله، سنعود قريبا""

نحن منقلك رحت متل روحة الخ… بالنهر😂",<USER> الفرق بين النتن ياهو ونفتالي بينت هو نفسه الفرق بين السرطان والإيدز عفاكم الله من الأولَيْن والثانيِيْن,4,Neutral
946,"أنهى رئيس الأركان الجنرال أفيف كوخافي اليوميْن الأوليْن لزيارته الى الولايات المتحدة حيث أجرى سلسلة لقاءات مهنية في وزارة الدفاع الأمريكية.
لقد أستقبل الجنرال كوخافي من قبل رئيس هيئات الأركان المشتركة الأمريكي في مقر #البنتاغون واستعرض حرس الشرف ومن ثم التقى وزير الدفاع الأمريكي <link>","<USER> أسأل الله العظيم رب العرش العظيم أن يشلكم ويمرضكم ويذلكم وأن يزلزل الأرض تحت أقدامكم وأن يجعل كيدكم في نحركم ويخفس بكم وبكل من يطبع ويتواطأ معكم.

""ويمكرون ويمكر الله والله خير الماكرين""

#انقذوا_حي_الشيخ_الجراح
#أنقذوا_حي_سلوان
#فلسطين
#المسجد_الأقصى
#لا_للتطبيع",4,Negative
947,"كل حدا بينزّل حكمة هون .. يطبقها وبلا فلسفة علينا. 
وانو شكسبير  شو  تمسرح ، وجلال الدين الرومي كيف تروحَن  ، وجبران ( بلا معنى)  والمنفلوطي ومحفوظ وهالخبار معش زابطة صدقوني. 
إرخي القصة شو بدك عيف 
خلينا نعيش الواقع 
ونكتب من وحي النطرة ع محطة البنزين مثلا 
#ليلة_المحطة_جمعتنا",<USER> انت متلنا عم تنطري كمان ؟!,4,Neutral
948,عيّنة مما يقاسيه اللبنانيين <link>,<USER> وين العزة والكرامة يلي وعدنا فيهم نصرالله,4,Neutral
949,الرئيس عون أجرى اتصالاً بوزير الصحة وطلب إليه اتخاذ الإجراءات اللازمة لمعالجة الازدحام الشديد الذي يشهده مطار رفيق الحريري الدولي وذلك لإجراء فحوصات الـPCR وذلك من خلال زيادة أعداد الفرق الصحية التي يتولى أفرادها إجراء الفحوصات والاستعانة بفرق إضافية لتفادي إنتظار الواصلين,<USER> احلى رئيس بتاريخ لبنان ، الله يطول عمرك ويديم 🧡🧡🧡عزك ، <link>,3,Positive
950,صحفي يكشف عن الانفجارات الغامضة التي تحصل في طهران. <link>,<USER> نسأل العزيز القدير وبأسمه الأعظم ان يزيد ايران من المحق والسحق والفتق والرتق والانفجارات في عقر بيوتهم النجسه والتدهور الشامل السريع نظير جرائمهم في حق الأبرياء,4,Neutral
951,"معلومات تاريخية عامة للجمهور العربي:

الأخت بولا عملت لعشرات السنوات كمذيعة في تلفزيون المنظومة الإقتصادية التي أسست النظام الإقتصادي الريعي الوهمي المدمر للبلد بعيداً عن الإقتصاد الإنتاجي، ثم أصبحت بعد انهيار البلد معارِضة للمنظومة وتحاضر بالتغيير والنضال الثوري. <link>",<USER> كذابة او دجالة او بياعة كلام من يوم يومها هل سألت حالها شي يوم كيف اجت نائبة,1,Neutral
953,من هذه اللحظة ما في حكي عن احتلال او ابارتهيد او كلام ضد اسرائيل لان فلسطينو الداخل مشاركين في الحكومة . مبروك <link>,<USER> يريد إرضاء الجميع ماذا بك؟؟! هههه,4,Neutral
954,الاخوان المسلمين كانوا مع هتلر في الحرب العالمية الثانية لانه يحارب الحلفاء في الإستعمار وكانوا مع الخميني ضد صدام في حرب الخليج الاولى بحجة ان إيران تطبق الشريعة الاسلامية وصدام علماني وفي حرب الخليج الثانية مع صدام ضد الكويت لان مشروعهم عربي اسلامي وحدوي .. !,<USER> لعنك الله مدرسه في الفتنه ههههه,4,Negative
955,الدويلة العربية الوحيدة التي إمتعضت من الهبة الشعبية لإنتخاب الرئيس الأسد هي القرية القطرية وهذا ما يجعل هذه الدويلة المخربة في الأمة معزولة بموقفها وأصبحت كناية عن صندوق للمال يدفع لمصلحة الإخوان وأردوغان . قطر مشيخة تخريب ويجب عزلها عربياً.,<USER> شكلوا زعماء الدروز من سلالة البربغتي كل لحظه بلون .... مبارح يا غلام كنت عما تنادي بعبارة شكراً قطر .... واذا كان الاول الغيث قطره فماذا لو كانت قطر ..  هذا كلامكم يا بهيم زمانك وعصرك ....حقك فرنك يا اجير اكل الخرا....,3,Negative
956,"جلّ همنا أن يعيش #أطفالنا براءتهم، فهم استمرارية وجودنا كشعب وجد ليعطي الحياة، يبدع ويعيش بأمان #جمعة_مباركة #شبات_شالوم
 <USER> <link>",<USER> <USER> واطفال غزه اشلاء بالشوارع وتحت الأنقاض هذا جل اهتمامكم,3,Negative
957,إلغاء الدعم قبل البطاقة التمويلية مغامرة خطرة وغير محسوبة . فمتى يفرج مجلس النواب عن البطاقة؟.,<USER> البطاقة التمويلية لا يوجد احصاءات علمية ودقيقة عليها ولا زال حتى الآن النواب يختلفون عليهاف على أية أساس تريد اقرارها؟,0,Neutral
958,"في زمن الاحتلال، زرعنا روح المقاومة والنضال وانتصرنا..
في زمن الفساد ما زرعه العونيون ضدّ الفاسدين سوف يحصده كل لبنان، والنصر سيكون لكل الأوادم.
#انتفاضة_الساحات",<USER> اولاً ما خصكم بشي اسمو مقاومة لمن حررنا الارض من احباب قلوب اسيادكم كانوا حينها في المنفى هاربين اكلين شاربين نايمين.وبالنسبة الى ما ستؤول اليه الايام ، تياركم الى مزبلة التاريخ لانكم دمرتم البلد ، وعدتونا بجهنم ، ووضعتم البلد في بئس المصير . هزلت ولن نسلمكم البلد بحجة المكافة,4,Negative
959,بالأمس احتفل العالم باليوم العالمي لمكافحة #عمل_الأطفال، في محاولة لتسليط الضوء على هذه الظاهرة ومدى قساوتها على #الطفولة متى يعي العالم أن تربية الأطفال على ثقافة الإرهاب هي أشد خطورة وقسوة عليهم، ثقافة #حماس #وحزب_الله! وهنا نطالب بيوم لتجنيب الأطفال هذه الثقافة الإجرامية <link>,<USER> نعلم أطفالنا ان فلسطين محتلةمن اليهود  ومن حق اي مسلم يجاهد في سبيل الله,3,Neutral
960,"انا وعم سوق بشوارع بيروت وما قادرة اوصل حسيت برغبة بالبكاء متل ولد زغير
بالبيت ما في كهربا ولا موتور ولا انترنت وعندي شغل بيبلش الساعة 12
ما عم فينا نشتغل ما عم فينا نعمل شي أول مرة بحس بقهر وبعجز هلقد",<USER> يا حرام تلاميذ المدارس عندون امتحانات الصبح وبليل مش عم يقدروا يناموا من الشوب وفي فيقة بكير  شي لا يحتمل,4,Neutral
961,"42 عامًا وإيران أسيرة نظام يحكم الشعب الإيراني الأصيل بيد من حديد.
وليس غريبًا أن يصل الحكم اليوم رئيسًا، ويده ملطخة بجرائم ضد الإنسانية في سجون #الملالي، بعد أن نفذ حكم الاعدام بالآلاف بسبب آرائهم السياسية. هذا هو النموذج الذي يسود دول المنطقة التي تحتلها #إيران 
(صورة متداولة) <link>","<USER> وكأنك والله تتحدث أيضا عن اسرائيل . اللى اختشوا ماتوا فعلا.
راقب نفسك قبل أن تراقب الآخرين",1,Negative
962,يلّي عم بنادي بالفدرالية واذا قصدو التقوقع على الذات يشرّف يمارسها ببيته… لبنان بكل مناطقه هو لكل أبنائه🇱🇧وصباح الخير♥️,<USER> يسلم تمك صباح النور ☀️,4,Positive
963,"وكم من الارواح زُهقت، فاتصل وابلغ وهدّد وتسكّر الملف..نطالب بالعدالة لشهدائنا.
#حزب_الله_ارهابي <link>",<USER> الشعب عندما يتوحد أقوى!,1,Neutral
964,قطر 🇶🇦 منذ سنة ١٩٩٥ وهي تدعم الإرهاب وتتآمر على الأنظمة العربية المعتدلة وتحالف الانظمة الإقليمية المتطرفة والمتشددة وتمول حماس الاٍرهابية وتدعم الاخوان يجب تجميد أموال قطر في الولايات المتحدة و أوروبا وبريطانيا,<USER> بضوء اخضر أمريكي وبعدين ليش حميتو الأسد بكل قوة,4,Negative
965,"وزير  من فلسطيني الداخل عيسى فريج يدخل في الائتلاف الحكومي.
طيب كيف ابارتهيد؟ كيف احتلال؟ كيف اضطهاد؟؟
من باع القضية؟؟؟ <link>","<USER> لو كل الخونه باعوا القضيه .. 
هناك ١٠٠ مليون مصري وراء القضيه 😎",1,Neutral
966,كفووو <link>,<USER> كفوك جهنم .. كلك ذووق يايهودي,4,Negative
967,هل سيسقط اليوم بعد الظهر نتنياهو؟ او عنده مثل القطة ٧ أرواح؟!؟,<USER> جميعكم ساقطون .,1,Negative
968,كم جميل أن التقي شخصيات عربية على أرض إسرائيل التي باتت مقصدًا ووجهةً لناشطي ومحبي السلام. وكان لي الشرف اليوم في لقاء ابن #النيل   الصديق المصري حسين أبو بكر منصور الذي جاء في بعثة هدفها الأول والأخير #التلاقي #التعايش و #السلام <USER> <link>,<USER> <USER> انت وهو زباله وحثالة عشان هيك تعرفتوا علي بعض ….الطيور علي اشكالها تقع ولكن اقول لك ( إن وعد الله حق ) سوف يزول كيانكم وسوف تقتلون يا قتلت الانبياء والاطفال والنساء يا احفاد القرده والخنازير ….لقد اقتربت الساعه,1,Negative
969,"شو الفرق بين المشهد بطرابلس اليوم وبإدلب ودرعا وحماه وغيرن مبارح!!
بنفس الجهل والتعصب الديني الداعشي بسوريا ضربوا الجيش وصاروا تحت رحمة الجزّارين الدواعش وإرهابن..
وبكرا إذا نجح مشروعن بطرابلس ساعتها الله لا يردّ كل طرابلسي داعشي ساهم برمي ولو حجر على الجيش..
#الله_يحمي_الجيش",<USER> كنا نظن انك مثقف فنان ذو تفكير علمي انساني... واذ بنا نجدك من اصحاب التعنت الطائفي البغيض ايها الوضيع  .,2,Negative
971,#اسعار_البنزين <link>,<USER> حتى الصهيوني متأثر,1,Neutral
972,يزورنا اليوم وزير خارجية دويلة قطر للمساعدة في الحلول . كم نتمنى أن تساعد قطر في الحلول على الساحات التي تدفع فيها الأموال دعماً للإرهاب في سوريا وليبيا .,<USER> يا أخ وئام دولة قطر تتعامل بصدق وشفافية مع الأشقاء يتحدثون من فوق الكاولة بشفافية تامة ولا يخدعون شعبهم وحتى المقيمين على ترابها الطيب ويكفي الشفافية في التعامل مع الجميع ودبلوماسيتها عالية المستوى كفيلة بلم الشمل ولبنان من أكثر الدول التي نالها الكرم القطري والمساعدات واضحة وكفى,2,Neutral
973,"💢 #إيران توقف ساعة العد التنازلي لساعة ""إبادة إسرائيل"" عن العمل بسبب انقطاع التيار الكهربائي الذي شمل كل البلاد
😎😂

  <link>

 <link>",<USER> 😂😂😂😂😂😂اوووه بيتأخرون كم ساعة,3,Positive
974,الرئيس عون: من المستحيل الاستمرار في استقبال العدد الضخم من النازحين السوريين وعلى المجتمع الدولي والأمم المتحدة العمل على اعادتهم الى قراهم في سوريا التي باتت آمنة,<USER> أنت خلي يكون عندك سلطة لترجع كلاب حزب الشيطان والسوريين هنن بيرجعوا على بلدهم لحالهم,2,Negative
975,"اسكندر بقرونو مشهور
بو قرون ومش بس تنين
عطيوه نخعة لهالطرطور
وقالولوا يقرا بيتين،
إسمع يا راقص مسعور
يا مهووس و بو فخضين 
لمّا بحكي بشعشع نور
بسبّب إزعاج لصنفين:
بيهجم ع نوري الصرصور 
ونوري بيفونس البسَين.
#حيوان_برّي","<USER> بالعادة ما بتمسخر على خلقة ربنا بس ما فيي ما خبرك شغلة 
بتعرف ليه معلمك الزمك جبران بيحبك 
لانه ما لقى حدا زمك اكتر منه غيرك 
مسح فيك الارض وبمعلمك ومعلم معلمك 
روح طم حالك وبلا ما تبهدل حالك وتبهدل معلمك معك 
#زمك_معلمه",3,Negative
976,"نحن ليش بدنا ندفع ثمن تيسنة البعض انو ما بدو فيول من ايران؟!
ليش بدنا نعاني بهالشكل والحل موجود قدامنا ومأمّن!
بموضوع الكهرباء نحن رهائن عند كل مين رافض عرض شراء الفيول الايراني بالليرة اللبنانية!",<USER> هلق طالما إيران وسوريا واحد خلي إيران تكفي السوق السورية ،بيوقف تهريب البنزين ومازوت على سورية ،سعتها بتنحل المشكلة لى عنا وبيصر الوضع مقبول,1,Neutral
977,"قل لي أي جيل تربي أقل لك من أنت؟ 
هذه هي مخيمات الصيف التي تنظمها حركة حماس لأطفال غزة. سالبةً منهم البراءة والطفولة لتوظفها في أعمال التحريض والقتل.. <link>",<USER> (وأعدوا لهم ما استطعتم من قوة ومن رباط الخيل) اليوم وغدا افيخاي اليوم وغدا - عداوتكم مزروعة في جيناتنا لم نترككم تعيشون ابدا اليوم وغدا,0,Negative
978,ألمعركة ليست طائفيّة و لا دستورية ….المعركة هي معركة أوآدم ضدّ الفساد #التدقيق_المالي_الجنائي,<USER> يار يت الله يخلصنا,2,Neutral
979,"بفضّل ١٠٠ مرة موت وأفطس بأرضي ولا خلي بيّي يعتذر عن قلّة أخلاقي
ثورة بولا وإليسا وميا خليفة وديما صادق، أفسدت أخلاق جيل كامل <link>",<USER> الاب بيسوى صرماية تفه عليه وعلى رجوليتوا,4,Neutral
980,"إلى سكان #يهودا_والسامرة! إحذروا من استغلال #حماس لكم ومساعدتها في أعمالها #الإرهابية لأن في ذلك ضرر لكم ولمصدر رزقكم.
ففي إطار الجهود الرامية لمصادرة الأموال المخصصة لتمويل نشاطات #حماس_الإرهابية في يهودا والسامرة تم هذا الأسبوع ..(يتبع) <link>","<USER> ياحمار يل غبي شو ما عملة ونشرة زوالكم اقترب ان شاء الله وهذا وعد من الله خالقكم وخالق المسلمين ورب العالمين 
لا إله إلا الله محمد رسول الله",4,Negative
981,"صباح النور من معاصر بيت الدين قضاء الشوف….لبنان الحلو💚
#نازل_ع_لبنان 
Credit 📸 Samer Ghanem <link>",<USER> صباحك الاحلى! الله يحميك انت و عيلتك ❤️❤️❤️❤️,4,Positive
982,الرئيس عون تابع تطور أزمة المحروقات في البلاد والمعاناة التي تواجه المواطنين لاسيما امام محطات الوقود، فأجرى اتصالات شملت وزير الطاقة والإدارات المعنية في الوزارة وطلب اتخاذ إجراءات سريعة وصارمة من اجل المساهمة في التخفيف من حدة الازمة المفتعلة ووقف استغلال المواطنين,"<USER> غمرتنا بلطفك
انت بهل اتصال دبحتن سكّو ركابن",3,Negative
983,ايدي كوهين يقدم لكم نشرة الاخبار العربية سلفا، الاردن يتصدر الاخبار حتى نهاية الصيف، ثم الكويت، ثم غزة. تذكروا هذه الاخبار اليقينة واني اعلم من الله ما لا تعلمون,<USER> كوهين فاكر اثناء الانتخابات  الامريكية..لما قلت ان اللوبي الصهيوني سيتدخل في الوقت المناسب لحسم النتيجة لصالح ترامب؟؟  و الا نسيت؟ و الا تظن انك تخاطب مغفلين؟ انتم ضعاف.. و لكن بروبجاندا هدفها اظهار انكم قوة عظمي . من أسابيع شاهدنا بلادكم في حظر تاااام بسبب  صواريخ مصنعة يدويا,2,Negative
984,"الي بيزعل بيرضى لحالو 
والي بيروح بيجي بدالو 
#من_اقوال_الرتوت☺️ <link>","<USER> كيف برتاح وزعلها قاتل الروح
والقلب عم يبكي على فراقا
راحت وتركت وراها جروح
نيال قلبو اللي ما دائا
ما حدا بعبي مطرك اللي بروح
ولا ببدل الوردة بألف باقا",4,Neutral
985,الدويلة العربية الوحيدة التي إمتعضت من الهبة الشعبية لإنتخاب الرئيس الأسد هي القرية القطرية وهذا ما يجعل هذه الدويلة المخربة في الأمة معزولة بموقفها وأصبحت كناية عن صندوق للمال يدفع لمصلحة الإخوان وأردوغان . قطر مشيخة تخريب ويجب عزلها عربياً.,<USER> والامارات شرها لا يقل عن غيرها,4,Neutral
986,عاجل: اكتشاف اكثر من ١٠٠ جثة تابعة لعناصر حماس داخل انفاق غزة قتلوا خلال العدوان الحمساوي الاخير ضد اسرائيل.,<USER> نفس عن نفسك بالكذب يا خنزير 😂😂😂,1,Negative
987,"#عاجل أغارت طائرات حربية على موقع لانتاج وسائل قتالية لمنظمة #حماس الإرهابية حيث استخدمت العوامل المستهدفة من قبل حماس لبحث وتطوير الأسلحة.
جاءت الغارة ردًا على اطلاق #البالونات_الحارقة من قطاع #غزة نحو الأراضي الإسرائيلية. 
سيرد جيش الدفاع بقوة على محاولات إرهابية تنطلق من #غزة <link>",<USER> قصدك حماس اصحاب الارض الاصليين ..مش الارهابية ..مهما تخفوا الحقيقة  تظل أقوى من جبروتكم ..  ..اباؤهم وجدودهم مدفونين هناك ..في عسقلان واسدود وكل القرى التي خرجوا منها تحت بطشكم وجبروتكم  وقد كانوا فلاحين بسطاء لاحول لهم ولاقوة....انتم عابرون ونحن باقوون,0,Negative
988,شرف لي أن أكون شاهدًا على استضافة دولتي لوجوه عربية مسالمة وشخصيات جاءت لترى عن قرب شعب إسرائيل ومن بين هذه الوجوه الصديق المهندس سعود صقر ابن دولة الإمارات ناشط ومحب للسلام الذي يشرفنا بزيارة لتوثيق العلاقات بين شعبينا موجهًا رسالة إلى الشعوب العربية قائلًا:تفضلوا بزيارة إسرائيل <link>,<USER> كس امك لامو نجس ابن نجس لايطبع الاعاهر مثلك,3,Negative
989,"نظرة إلى الأمام، في مسيرة استكمال درب الأجداد، راية وطن على الأكتاف، إرادة لا تعرف الانكسار، وابتسامة تهزم تحريض الأعداء
هؤلاء #نحن... هذا #جيش_الدفاع <link>","<USER> سيقاتلونكم هؤالا الابطال
حتى ينهون نسلكم من على وجه الأرض وحتى يقول الحجر والشجر هذا يهودي قذر خلفي فتعال ي مسلم واقتله

وبيننا الأيام 😉👌 <link>",0,Neutral
990,"خبر عاجل. خبر عاجل
نتنياهو في اخر امر له قبل سقوط حكومته يوجه امرا لدولة قطر ولاميرها يطالبه بمنع استقبال اسماعيل هنية وقطر تنفذ وطائرة هنية ترجع الى القاهرة. <link>",<USER> الشيخ تميم لم يستمع لنتنياهو وهو رئيس وزراء، سيستمع له بعد أن أصبح مخلوعاً ومركولاً؟ وفي رواية: ( مضروباً بالجزمة )؟,4,Neutral
991,"شكرا يا رب العالمين الواحد الاحد
أورشليم عاصمتنا الأبدية ونحن أصحابها منذ أيام الملك شاؤول  وإيشبوشث وداؤد وسليمان عليهم السلام 
شاء من شاء وأبى من أبى
اما ارهابيي حماس وفتح والاخوان وغيرهم من الجبناء والمرتزقة والمتاجرين فسوف يدفعون لنا الجزية وهم صاغرون عاشت اسرائيل منارة الشرق <link>",<USER> لكم يوم ينطق الله فيه الحجر و الشجر لنصرتنا بإذن الله الواحد الاحد سبحانه,4,Neutral
992,"خبر عاجل. خبر عاجل
نتنياهو في اخر امر له قبل سقوط حكومته يوجه امرا لدولة قطر ولاميرها يطالبه بمنع استقبال اسماعيل هنية وقطر تنفذ وطائرة هنية ترجع الى القاهرة. <link>",<USER> النتن ياهو ما له أوامر إلا في حمام بيتة,4,Neutral
993,رئيس الجمهورية تجاوب مع ارادة مجلس النواب وتم تكليف الرئيس الحريري بتشكيل الحكومة بقرار صادر عنه بعد التغاضي عن الكثير من الاساءات والتعرض للرئاسة ولشخص الرئيس والصلاحيات... كل ذلك في سبيل تسهيل تشكيل الحكومة على الرغم من محاولة ابتكار اعراف دستورية جديدة,"<USER> حرب كونية جديدة على ميشال عون 
كلنا معك فخامة الرئيس 
#عون_هزّ_مسمار_الفاسدين",0,Positive
994,وخلي الزلمي يمنع ادخال البنزين والمازوت 🙂 <link>,<USER> كبييييير يا سيد 🙏 حضرتك العنفوان والامل 🙏,4,Positive
995,مصور فلسطيني يسرق صور لصحفي اخر وينسبها له. <link>,<USER> انتم سرقتم منازل واراضي الفلسطينيين وزعلتو على صورة يا عواهـ..ر؟؟؟؟,4,Negative
996,يزورنا اليوم وزير خارجية دويلة قطر للمساعدة في الحلول . كم نتمنى أن تساعد قطر في الحلول على الساحات التي تدفع فيها الأموال دعماً للإرهاب في سوريا وليبيا .,"<USER> إذا قطر دويلة!
لبنان الذي تنتمي إليه شو ؟؟؟؟؟",3,Neutral
997,"قال الرسول صلى الله عليه وسلم: {مُروا أولادَكم بالصلاةِ وهم أبناءُ سبعِ سنينَ...}

وهذه هي صورة أطفال غزة التي نشرت اليوم من المخيمات الصيفية. عيب عليكم. الاسلام منكم براء. <link>","<USER> ليه بريء منهم ليه هم لم يخالفوا القرآن ولم يخالفوا الاسلام هم يتدربون لتحرير ارضهم فارضهم محتله ويقتلون ويقصفون ويشردون من محتل غاصب لا يريد سلام هم لا يقاتلوا الابرياء كما يفعل الارهابيين هم يقاتلوا المحتل
ثم قبل ان تتكلم انتم تفعلوا ذلك في اطفالكم وتجعلوا التجنيد اجباري للجميع",1,Negative
998,ايدي كوهين يقدم لكم نشرة الاخبار العربية سلفا، الاردن يتصدر الاخبار حتى نهاية الصيف، ثم الكويت، ثم غزة. تذكروا هذه الاخبار اليقينة واني اعلم من الله ما لا تعلمون,<USER> آه منكم يا صهاينة ملعونين الى يوم الدين,4,Negative
999,اما دولة مستوردي النفط و مشتقاته فان كل بنزين ايران لن يكفي حتى ولو جرى استيراده .ارفعوا الدعم وساعدوا النقل العام <link>,<USER> اكيد لازم يرفعوا الدعم، مش عم توفي معك الربح على سعر ال١،٥٠٠ 😀,3,Negative
1000,"هل يرضى الشيعة بالتنازل عن حقيبة المالية؟ لماذا إذاً يُطلب منا التنازل عن حق المسيحيين؟ ولم لا تتم تسميتهم من المجتمع المدني؟ وما كان يمر مرور الكرام ""بإيام الوالد"" لن يمر في عهد الرئيس ميشال عون
<USER>",<USER> <USER> ما بقى تحكو باسم المسيحية انتو بتمثلو حالكن ما خصنا فيكن جماعة انتهازية,4,Negative
1001,حصاركم هو من أوصلنا إلى هذا الوضع . لذا سنأتي بالنفط من إيران وغير إيران كنت أعتقد أن اللبنانيين الذين شجعوكم هم التافهون فتبين أنكم أتفه منهم. شكراً إيران.,<USER> معقول رجل المفروض بيعرف بزواريب السياسة مصدق الخبرية؟!!!! ياريت نكون لبنانيين وبس!!!,0,Neutral
1002,"انا وعم سوق بشوارع بيروت وما قادرة اوصل حسيت برغبة بالبكاء متل ولد زغير
بالبيت ما في كهربا ولا موتور ولا انترنت وعندي شغل بيبلش الساعة 12
ما عم فينا نشتغل ما عم فينا نعمل شي أول مرة بحس بقهر وبعجز هلقد",<USER> نحنا كمان بالضيعة لا كهربا لا موتور ولا شي. الله يعتم ايامن,1,Positive
1003,"من قلب جيش عاشق لمهمته ولأمته المتجذرة في تاريخ الوجود منذ  3000عام، نتمنى نهاية أسبوع مليئة بالراحة والأمان والسلام الداخلي.
#جمعة_مباركة 
#شبات_شالوم <link>","<USER> بكام الرابطة لو سمحت 
رابطة الشبت 😂😂",0,Neutral
1004,"يسألني البعض لماذا أغرّد ضدّ جعجع؟
ليس لزيادة الشرخ المسيحي، ولا حقداً عليه وإلا ما زرته في معراب،
كل ما في الأمر هو لتوعية ذاكرة من نسي أو يتناسى أن كل ما يحصل لنا كمسيحيين هو نتيجة رهانات جعجع الفاشلة منذ سيطر على القوات وحتى اليوم.. #منتهية","<USER> ياعفو الله 👍🏻
احلى معلم شربل 😘",4,Positive
1005,الرئيس عون التقى سفير لبنان في السنغال سامي حداد وعرض معه العلاقات بين البلدين وأوضاع الجالية اللبنانية في السنغال <link>,<USER> هيدا يللي مستلم إدارة الصفحة خالص أكتر منك فخامة الرئيس,0,Negative
1006,"بعد اسبوع بدي اوقف عرّابة لبنت اختو لجوزي والفرحة مش سايعتني لأني انا وحيدة بهالحياة  بابا جابني وندم☺️ كل شوي تعي ريتا انتي العرابة روحي ريتا انتي العرابة خديها مشوار انتي العرابة عم فكّر قلهن فكروا بالموضوع منيح لانو بيقولو البنات بيطلعوا لعرابتهن😄😄tarala 
 #كتير_مبسوطة☺️",<USER> عمادة مباركة سلف 🙏 إحساس كتير حلو الله يديمها عليكي هالنعمة بطيبة القلب 🧡👍,0,Positive
1007,"الآن: إسرائيل تنقل للفلسطينيين عبر وحدة تنسيق أعمال الحكومة في المناطق لقاحات مضادة لفيروس كورونا من صنع شركة "" فايزر "" في إطار الجهود الرامية لإبادة هذا الفيروس كليًا عن منطقتنا والتي تعتبر مصلحة مشتركة صحية واقتصادية للطرفين. #إسرائيلي_وأفتخر <link>","<USER> مش لما يكون لقاحك صالح للإستعمال ... بعدين هل يُعقل أن أمن لعدو سرق أرضي وبيتي...
#فلسطين_حرة  لنا ولن نرحل",2,Neutral
1008,في اعلاميين حقودين لدرجة بتشعر أنهم مزعوجين لأن المغتربين نازلين علبنان فيا أفاعي الغدر انتو لازم تفلّو والمغتربين يرجعو !  #نازل_ع_لبنان,<USER> هودي (الإعلاميين) لعم تحكي عنهم هني وعم يحكوا إذا الدولار طلع و البنزين والمواد الغذائية حكيهم بتحسه شماتة شمتانين بالشعب الفقير هودي بلا أخلاق,3,Neutral
1009,"منظمة اجنبية محايدة تكشف اكاذيب مراسلة الجزيرة وتفضحها
جيفارا تزعم بانها كسرت يدها.
الكذب والتضليل
بيضحكوا عليكم يا عرب <link>",<USER> يعني تهدموا بيوت وتقتلوا اطفال وتعتقلوا نساء ومستكثر عل جفيفار الكسر كسرت بذلك ياكوهين كل الاعراف الدوليه والتاريخيه والانسانيه,3,Negative
1010,"احد شبيحة عباس يضرب مواطن بحجر على رأسه بشكل مباشر

مجرمين .. قتلة !! <link>",<USER> البوليس مش بوليسنا,1,Neutral
1011,ان دولة تجار الدواء والمعدات الطبية هي طبعا اكبر واقوى من دويلة بعض الصيدليات وذللك تفاديا للتعميم والتجني . <link>,<USER> يسعد صباحك يا ريس الى اين متجهين تدمر القطاعات بسلسلة هرمية منظمة وحسب معرفتي لتاريخ بهذه الظروف تولد المعجزات والحاجة ام الاختراع،انها الفرصة لنا الان هي كل ما انهار قطاع علينا ايجاد بديل له بايجاد مصانع تنتج الدواء والغذاء والخ لخلق فرص عمل وانعاش السوق المحلية وتصدير الفائض,4,Positive
1012,من هذه اللحظة ما في حكي عن احتلال او ابارتهيد او كلام ضد اسرائيل لان فلسطينو الداخل مشاركين في الحكومة . مبروك <link>,<USER> سيد ايدي دخلوا من اجل النضال لحقوقهم في ارض اجدادهم وعندما يحصلون ع حقوق كاملة مثله مثل اليهودي وقتها ربما تصبحون دولة غير عنصرية,3,Negative
1013,"بعد أكثر من أسبوع على مشاركته، أنهى اليوم سلاح الجو الإسرائيلي المناورة الجوية الدولية ""#التاج_الخامس"" التي أقيمت في إيطاليا بمشاركة سلاح جو كل من الولايات المتحدة بريطانيا وإيطاليا، وهي الدول التي تمتلك الطائرات المتطورة f35. <link>","<USER> من رسالة خالد بن الوليد إلي كسرى:

« بسم الله الرحمن الرحيم الحمد لله الذي سلب ملككم، ووهن كيدكم، وفرق جمعكم، وفض خدمتكم، فاعتقدوا مني الذمة، وأدوا إلي الجزية، وذكر الرهن بشيء، وإلا والله الذي لا إله إلا هو لاتينكم بقوم يحبون الموت كما تحبون الحياة »

أي عز كنا فيه",2,Neutral
1014,"سعد الحريري لازم يحزم أمرو. أو بألّف بالتعاون مع رئيس الجمهورية متل ما عمل بالسابق أو بيعتذر.
إذا النية هي الإعتذار، حذار المماطلة لأيلول ونصير بحكومة إنتخابات. كل يوم عم يقطع عم بروح من دربنا. الوطن أكبر من الجميع! 
#فكروا_فيا",<USER> أليس شعارهم : لبنان أوّلاً. فليثبتوا!!!,0,Neutral
1015,"إلى سكان #يهودا_والسامرة! إحذروا من استغلال #حماس لكم ومساعدتها في أعمالها #الإرهابية لأن في ذلك ضرر لكم ولمصدر رزقكم.
ففي إطار الجهود الرامية لمصادرة الأموال المخصصة لتمويل نشاطات #حماس_الإرهابية في يهودا والسامرة تم هذا الأسبوع ..(يتبع) <link>",<USER> انتم مجرد عصابة تستخدمون القوة و الترهيب بقوة السلاح. كل ما تقوله افيخاي هو كذب ملفق كل العالم يعلم جيدا افعال الصهاينة سوف نربي اجيالنا بكرهكم ومهما فعلتم لن يجلب لكم سوى دمار اسرائيل.,0,Negative
